"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,Which of the following are contact forces?,Friction,Gravity,Magnetic force,Tension,30,"1,4",,,,,,,,,,,,,,,,,,
2,What is the net force on an object when all forces are balanced?,0 N,10 N,1 N,5 N,30,1,,,,,,,,,,,,,,,,,,
3,Which force is a non-contact force?,Tension,Normal force,Gravitational force,Friction,30,3,,,,,,,,,,,,,,,,,,
4,"If an object is accelerating, what can we say about the forces acting on it?",They are balanced,They are unbalanced,They are all contact forces,They are magnetic,30,2,,,,,,,,,,,,,,,,,,
5,What is the net force on an object that has 5 N to the right and 3 N to the left?,2 N to the right,8 N to the right,2 N to the left,0 N,30,1,,,,,,,,,,,,,,,,,,
6,Which option defines force correctly?,A push or pull that can change an object's motion,A measure of gravity,A type of energy,A way to measure mass,30,1,,,,,,,,,,,,,,,,,,
7,Which force often opposes motion between two surfaces?,Air resistance,Friction,Tension,Gravity,30,2,,,,,,,,,,,,,,,,,,
8,What happens to an object when the net force acting on it is zero?,It changes direction,Its speed increases,Its motion does not change,It stops immediately,30,3,,,,,,,,,,,,,,,,,,
9,What can forces do to an object? (Select two answers),Change its shape,Change its colour,Change its direction,Change its texture,30,"1,3",,,,,,,,,,,,,,,,,,
10,"If a car is moving at a constant speed,  how would you classify the forces acting on it?",Balanced,Unbalanced,Only gravitational,Only frictional,30,1,,,,,,,,,,,,,,,,,,
11,Which force would be considered a non-contact force?,Applied force,Friction,Gravitational force,Normal force,30,3,,,,,,,,,,,,,,,,,,
12,What unit is force measured in?,Joules (J),Newtons (N),Watts (W),Hertz (Hz),30,2,,,,,,,,,,,,,,,,,,
13,What describes the net force acting on an object that is accelerating?,Balanced,Unbalanced,Zero,Constant,30,2,,,,,,,,,,,,,,,,,,
14,"If the forces acting on an object are 10 N left and 15 N right, what is the net force and direction?",5 N left,5 N right,25 N right,No net force,30,2,,,,,,,,,,,,,,,,,,
15,What happens to the motion of an object if the net force on it is not zero?,It moves at a constant velocity,It moves at a constant speed,It accelerates,It stops,30,3,,,,,,,,,,,,,,,,,,
16,What is friction?,A force that opposes motion,The force of gravity on an object,A type of magnetic force,A force that keeps objects moving,30,1,,,,,,,,,,,,,,,,,,
17,"If a book is resting on a table, which force is acting upwards on the book?",Gravitational force,Friction,Normal force,Tension,30,3,,,,,,,,,,,,,,,,,,
18,Which of these forces is a contact force?,Magnetic force,Gravitational force,Electrostatic force,Tension,30,4,,,,,,,,,,,,,,,,,,
